song,artist,peak_position,weeks_on_chart,date_of_charting
Dope,Lady Gaga,8,2,11/30/2013
Propuesta Indecente,Romeo Santos,79,7,11/30/2013
Darte Un Beso,Prince Royce,78,12,11/30/2013
All Bad,Justin Bieber,50,1,11/30/2013
Livin' On A Prayer,Bon Jovi,1,22,11/30/2013
Rough Water,Travie McCoy Featuring Jason Mraz,82,5,12/7/2013
Strong,One Direction,87,1,12/7/2013
PYD,Justin Bieber Featuring R. Kelly,54,1,12/7/2013
Diana,One Direction,11,1,12/7/2013
Last Christmas,Ariana Grande,96,1,12/7/2013
Hallelujah,Matthew Schuler,40,2,12/7/2013
Only Time,Enya,10,32,12/7/2013
Still Into You,Paramore,24,20,12/7/2013
Tom Ford,JAY-Z,39,20,12/7/2013
Type Of Way,Rich Homie Quan,50,20,12/14/2013
Mirrors,Justin Timberlake,2,42,12/14/2013
Aw Naw,Chris Young,45,20,12/14/2013
Red,Taylor Swift,6,22,12/14/2013
Red Nose,Sage The Gemini,52,20,12/14/2013
At Last,Will Champlin,83,1,12/14/2013
We Can't Stop,Miley Cyrus,2,26,12/14/2013
Roller Coaster,Justin Bieber,47,1,12/14/2013
The Outsiders,Eric Church,51,7,12/21/2013
I. Crawl,Childish Gambino,86,1,12/21/2013
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,38,20,12/21/2013
Southern Girl,Tim McGraw,42,20,12/21/2013
Days Of Gold,Jake Owen,83,9,12/21/2013
Change Me,Justin Bieber,59,1,12/21/2013
All The Way Home,Tamar Braxton,96,1,12/21/2013
Bridge Over Troubled Water,Tessanne Chin,64,1,12/28/2013
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,6,23,12/28/2013
Saturday,Rebecca Black & Dave Days,55,1,12/28/2013
My Story,R. Kelly Featuring 2 Chainz,89,1,12/28/2013
Cannonball,Lea Michele,75,1,12/28/2013
Mine Would Be You,Blake Shelton,28,20,12/28/2013
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,65,10,12/28/2013
What Now,Rihanna,25,8,12/28/2013
Angel,Jacquie Lee,87,1,12/28/2013
Right There,Ariana Grande Featuring Big Sean,84,8,12/28/2013
Slow Down,Selena Gomez,27,20,1/4/2014
Little Drummer Boy,Pentatonix,13,3,1/4/2014
I Have Nothing,Tessanne Chin,51,1,1/4/2014
Let It Be,Tessanne Chin & Adam Levine,76,1,1/4/2014
Who You Love,John Mayer Featuring Katy Perry,48,2,1/4/2014
Gorilla,Bruno Mars,22,16,1/11/2014
Heart Attack,Enrique Iglesias,88,2,1/11/2014
HeadBand,B.o.B Featuring 2 Chainz,53,29,1/11/2014
Bound 2,Kanye West,12,6,1/11/2014
Mine,Beyonce Featuring Drake,82,2,1/11/2014
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,19,4,1/11/2014
Best Song Ever,One Direction,2,21,1/11/2014
The Fox,Ylvis,6,18,1/18/2014
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,77,9,1/18/2014
Perfume,Britney Spears,76,6,1/18/2014
Honest,Future,55,17,1/18/2014
Old School Love,Lupe Fiasco Featuring Ed Sheeran,93,5,1/18/2014
Work B**ch!,Britney Spears,12,13,1/18/2014
That's My Kind Of Night,Luke Bryan,15,21,1/18/2014
Bounce It,Juicy J Featuring Wale & Trey Songz,74,19,1/18/2014
Holy Grail,Jay Z Featuring Justin Timberlake,4,27,1/25/2014
TKO,Justin Timberlake,36,17,1/25/2014
Sunny And 75,Joe Nichols,39,20,1/25/2014
Replay,Zendaya,40,21,1/25/2014
Berzerk,Eminem,3,20,1/25/2014
Survival,Eminem,16,14,1/25/2014
You Sound Good To Me,Lucy Hale,88,1,1/25/2014
Gas Pedal,Sage The Gemini Featuring IamSu!,29,25,1/25/2014
Alone Together,Fall Out Boy,71,8,2/1/2014
Wasting All These Tears,Cassadee Pope,37,20,2/1/2014
All That Matters,Justin Bieber,24,8,2/1/2014
How I Feel,Flo Rida,96,2,2/1/2014
Applause,Lady Gaga,4,23,2/1/2014
Love More,Chris Brown Featuring Nicki Minaj,23,26,2/1/2014
Drunk Last Night,Eli Young Band,41,20,2/1/2014
I Luv This Sh*t,August Alsina Featuring Trinidad James,48,20,2/1/2014
Radio,Darius Rucker,65,15,2/8/2014
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,85,1,2/8/2014
Marry Me,Jason Derulo,26,17,2/8/2014
We Were Us,Keith Urban And Miranda Lambert,26,20,2/8/2014
Carolina,Parmalee,36,19,2/8/2014
Don't Let Me Be Lonely,The Band Perry,59,16,2/15/2014
A Man Who Was Gonna Die Young,Eric Church,89,1,2/15/2014
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,75,3,2/15/2014
Follow Your Arrow,Kacey Musgraves,60,1,2/15/2014
Sweet Annie,Zac Brown Band,47,17,2/22/2014
All Me,Drake Featuring 2 Chainz & Big Sean,20,20,2/22/2014
Midnight Memories,One Direction,12,3,2/22/2014
She Knows,J. Cole Featuring Amber Coffman & The Cults,90,5,2/22/2014
Up All Night,Jon Pardi,56,13,2/22/2014
Confident,Justin Bieber Featuring Chance The Rapper,41,3,2/22/2014
Explosions,Ellie Goulding,100,1,3/1/2014
Stay The Night,Zedd Featuring Hayley Williams,18,22,3/1/2014
It Won't Stop,Sevyn Streeter Featuring Chris Brown,30,20,3/1/2014
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,15,22,3/1/2014
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,80,1,3/1/2014
You're Mine (Eternal),Mariah Carey,88,1,3/1/2014
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",11,23,3/8/2014
Thinking About You,Calvin Harris Featuring Ayah Marar,86,6,3/8/2014
Whatever She's Got,David Nail,35,21,3/8/2014
Safe And Sound,Capital Cities,8,43,3/8/2014
XO,Beyonce,45,10,3/8/2014
Worst Behavior,Drake,89,11,3/8/2014
Sweater Weather,The Neighbourhood,14,37,3/8/2014
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,92,8,3/15/2014
Rap God,Eminem,7,20,3/15/2014
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,57,3,3/15/2014
Chillin' It,Cole Swindell,28,20,3/15/2014
Stay,Florida Georgia Line,28,20,3/15/2014
Do What U Want,Lady Gaga Featuring R. Kelly,13,19,3/15/2014
Friday Night,Eric Paslay,47,20,3/15/2014
The Heart Of Dixie,Danielle Bradbery,58,13,3/15/2014
Love Don't Die,The Fray,60,9,3/15/2014
Unconditionally,Katy Perry,14,20,3/22/2014
Sail,AWOLNATION,17,79,3/22/2014
Ordinary Love,U2,84,2,3/22/2014
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,94,1,3/22/2014
Sanctified,Rick Ross Featuring Kanye West & Big Sean,78,1,3/22/2014
The Language,Drake,51,20,3/22/2014
Glory And Gore,Lorde,68,3,3/22/2014
The Devil Is A Lie,Rick Ross Featuring JAY Z,86,1,3/22/2014
They Don't Know,Rico Love,73,7,3/22/2014
Chocolate,The 1975,80,6,3/22/2014
Waiting For Superman,Daughtry,66,17,3/22/2014
We Might Be Dead By Tomorrow,Soko,9,1,3/29/2014
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,48,3/29/2014
I Luh Ya Papi,Jennifer Lopez Featuring French Montana,77,2,4/5/2014
Love Me Again,John Newman,30,18,4/5/2014
Compass,Lady Antebellum,46,20,4/5/2014
"Hold On, We're Going Home",Drake Featuring Majid Jordan,4,33,4/5/2014
Drink A Beer,Luke Bryan,31,20,4/5/2014
Can't Raise A Man,K. Michelle,94,7,4/5/2014
G.U.Y.,Lady Gaga,76,1,4/12/2014
Brave,Sara Bareilles,23,42,4/12/2014
Wrecking Ball,Miley Cyrus,1,32,4/12/2014
See You Tonight,Scotty McCreery,52,18,4/12/2014
Roar,Katy Perry,1,35,4/19/2014
Young Girls,Bruno Mars,32,14,4/19/2014
Everything I Shouldn't Be Thinking About,Thompson Square,69,12,4/19/2014
Beating Heart,Ellie Goulding,88,3,4/19/2014
Up Down (Do This All Day),T-Pain Featuring B.o.B,62,20,4/19/2014
Love Is An Open Door,Kristen Bell & Santino Fontana,49,4,4/19/2014
When She Says Baby,Jason Aldean,38,20,4/26/2014
Odio,Romeo Santos Featuring Drake,45,11,4/26/2014
Take Me Home,Cash Cash Featuring Bebe Rexha,57,13,4/26/2014
Let It Go,Demi Lovato,38,20,4/26/2014
Lookin' For That Girl,Tim McGraw,85,4,4/26/2014
My Hitta,YG Featuring Jeezy & Rich Homie Quan,19,28,4/26/2014
Bad Blood,Bastille,95,1,4/26/2014
Adore You,Miley Cyrus,21,18,4/26/2014
Ride,SoMo,76,15,5/3/2014
Slow Me Down,Sara Evans,89,5,5/3/2014
Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",96,2,5/3/2014
Helluva Life,Frankie Ballard,51,20,5/3/2014
Oceans (Where Feet May Fail),Hillsong UNITED,83,13,5/3/2014
Do I Wanna Know?,Arctic Monkeys,70,20,5/3/2014
Hello Kitty,Avril Lavigne,75,1,5/10/2014
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",51,18,5/10/2014
Stay With Me,Josh Kaufman,92,1,5/10/2014
Goodnight Kiss,Randy Houser,52,16,5/10/2014
I Hold On,Dierks Bentley,40,19,5/10/2014
Radioactive,Imagine Dragons,3,87,5/10/2014
John Doe,B.o.B Featuring Priscilla,69,5,5/10/2014
For The First Time In Forever,Kristen Bell & Idina Menzel,57,19,5/17/2014
The Big Bang,Katy Tiz,100,1,5/17/2014
Drunk In Love,Beyonce Featuring Jay Z,2,20,5/17/2014
"Hold On, We're Going Home",Christina Grimmie,74,1,5/17/2014
Royals,Lorde,1,44,5/17/2014
19 You + Me,Dan + Shay,42,18,5/17/2014
Say Something,A Great Big World & Christina Aguilera,4,26,5/17/2014
Paranoid,Ty Dolla $ign Featuring B.o.B,29,20,5/17/2014
My Baby's Guns N' Roses,Brantley Gilbert,87,1,5/17/2014
Neon Lights,Demi Lovato,36,20,5/24/2014
Doin' What She Likes,Blake Shelton,35,17,5/24/2014
#SELFIE,The Chainsmokers,16,11,5/24/2014
Man Of The Year,ScHoolboy Q,62,13,5/24/2014
Animals,Martin Garrix,21,34,5/24/2014
I Can't Make You Love Me,Josh Kaufman,71,1,5/24/2014
Invisible,Hunter Hayes,44,12,5/24/2014
The Man,Aloe Blacc,8,20,5/24/2014
Hey Brother,Avicii,16,23,5/24/2014
Burn,Ellie Goulding,13,36,5/24/2014
How To Love,Christina Grimmie,79,1,5/24/2014
17 Again,Brantley Gilbert,90,1,5/24/2014
The Monster,Eminem Featuring Rihanna,1,29,5/31/2014
Fever,The Black Keys,77,3,5/31/2014
Wake Up Lovin' You,Craig Morgan,99,2,5/31/2014
Headlights,Eminem Featuring Nate Ruess,45,8,5/31/2014
Heaven,Jake Worthington,98,1,5/31/2014
Midnight,Coldplay,29,3,5/31/2014
The Walker,Fitz And The Tantrums,67,12,5/31/2014
One,Ed Sheeran,87,1,5/31/2014
Drink To That All Night,Jerrod Niemann,34,20,5/31/2014
Stoner,Young Thug,47,15,6/7/2014
Give Me Back My Hometown,Eric Church,36,20,6/7/2014
Billie Jean,Michael Jackson,1,25,6/7/2014
Can't Remember To Forget You,Shakira Featuring Rihanna,15,19,6/7/2014
Get Me Some Of That,Thomas Rhett,41,20,6/7/2014
Slave To The Rhythm,Michael Jackson,45,1,6/7/2014
Let Her Go,Passenger,5,43,6/7/2014
Somebody That I Used To Know,Christina Grimmie & Adam Levine,66,1,6/7/2014
Can't Help Falling In Love,Christina Grimmie,74,1,6/7/2014
Leave Your Lover,Sam Smith,92,1,6/7/2014
XO,John Mayer,90,1,6/14/2014
Part II (On The Run),Jay Z Featuring Beyonce,77,16,6/14/2014
Shades Of Cool,Lana Del Rey,79,1,6/14/2014
Don't Stop,5 Seconds Of Summer,47,3,6/14/2014
I Won,Future Featuring Kanye West,98,3,6/14/2014
Partition,Beyonce,23,21,6/14/2014
Mmm Yeah,Austin Mahone Featuring Pitbull,49,15,6/14/2014
Rewind,Rascal Flatts,38,20,6/14/2014
Cop Car,Keith Urban,41,18,6/14/2014
Bottoms Up,Brantley Gilbert,20,25,6/21/2014
Show Me,Kid Ink Featuring Chris Brown,13,31,6/21/2014
Red Lights,Tiesto,56,13,6/21/2014
Magic,Coldplay,14,14,6/21/2014
Story Of My Life,One Direction,6,32,6/21/2014
Ultraviolence,Lana Del Rey,70,1,6/21/2014
Raging Fire,Phillip Phillips,58,8,6/21/2014
I Choose You,Sara Bareilles,81,5,6/28/2014
Empire,Shakira,58,12,6/28/2014
Hangover,PSY Featuring Snoop Dogg,26,1,6/28/2014
Team,Lorde,6,38,6/28/2014
Sleeping With A Friend,Neon Trees,51,16,6/28/2014
Demons,Imagine Dragons,6,61,7/5/2014
Kiss Me Kiss Me,5 Seconds Of Summer,28,1,7/5/2014
On Top Of The World,Imagine Dragons,79,20,7/5/2014
Afire Love,Ed Sheeran,37,1,7/5/2014
West Coast,Lana Del Rey,17,2,7/5/2014
Beat Of The Music,Brett Eldredge,44,20,7/5/2014
The Worst,Jhene Aiko,43,20,7/5/2014
Human,Christina Perri,31,20,7/5/2014
Get Her Back,Robin Thicke,82,1,7/12/2014
You & I,One Direction,68,11,7/12/2014
Automatic,Miranda Lambert,35,19,7/12/2014
Jungle,Jamie N Commons & X Ambassadors,87,2,7/12/2014
Wild Wild Love,Pitbull Featuring G.R.L.,30,18,7/12/2014
La La La,Naughty Boy Featuring Sam Smith,19,20,7/19/2014
First Love,Jennifer Lopez,87,3,7/19/2014
Calm Down,Busta Rhymes Featuring Eminem,94,1,7/19/2014
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,59,6,7/19/2014
Lettin' The Night Roll,Justin Moore,49,20,7/19/2014
Keep Them Kisses Comin',Craig Campbell,72,10,7/19/2014
Timber,Pitbull Featuring Ke$ha,1,39,7/19/2014
Life Of The Party,Shawn Mendes,24,2,7/19/2014
Ten Feet Tall,Afrojack Featuring Wrabel,100,1,7/19/2014
Chainsaw,The Band Perry,86,9,7/26/2014
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",46,18,7/26/2014
I Got A Car,George Strait,89,7,7/26/2014
Let It Go,Idina Menzel,5,33,7/26/2014
Best Day Of My Life,American Authors,11,36,8/2/2014
You & I (Nobody In The World),John Legend,66,2,8/2/2014
She Twerkin,Ca$h Out,98,3,8/2/2014
Trophies,Young Money Featuring Drake,50,20,8/2/2014
Everything I Didn't Say,5 Seconds Of Summer,24,1,8/2/2014
Who Do You Love?,YG Featuring Drake,54,20,8/9/2014
Whiskey In My Water,Tyler Farr,52,18,8/9/2014
Not A Bad Thing,Justin Timberlake,8,22,8/9/2014
Tennis Court,Lorde,71,18,8/9/2014
Happy Little Pill,Troye Sivan,92,1,8/9/2014
Word Crimes,"""Weird Al"" Yankovic",39,2,8/9/2014
Play It Again,Luke Bryan,14,20,8/9/2014
Na Na,Trey Songz,21,28,8/16/2014
Talk Dirty,Jason Derulo Featuring 2 Chainz,3,33,8/16/2014
Chasing The Sun,Hilary Duff,79,1,8/16/2014
Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,48,20,8/16/2014
Birthday,Katy Perry,17,18,8/23/2014
Beachin',Jake Owen,26,20,8/23/2014
Wild Life,Jack & Jack,87,1,8/23/2014
Ain't It Fun,Paramore,10,24,8/23/2014
Me And My Broken Heart,Rixton,14,20,8/23/2014
Song About A Girl,Eric Paslay,85,10,8/23/2014
My Eyes,Blake Shelton Featuring Gwen Sebastian,39,16,8/30/2014
She Looks So Perfect,5 Seconds Of Summer,24,20,8/30/2014
Pompeii,Bastille,5,53,8/30/2014
Classic,MKTO,14,27,8/30/2014
I'm Ready,AJR,65,11,8/30/2014
This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,15,28,8/30/2014
Cut Her Off,KCamp Featuring 2 Chainz,49,20,9/6/2014
Come With Me Now,KONGOS,31,21,9/6/2014
Dare (La La La),Shakira,53,11,9/6/2014
Wasted,Tiesto Featuring Matthew Koma,49,12,9/6/2014
Girls Chase Boys,Ingrid Michaelson,52,20,9/6/2014
Sing,Ed Sheeran,13,20,9/6/2014
Who I Am With You,Chris Young,48,19,9/13/2014
We Dem Boyz,Wiz Khalifa,43,20,9/13/2014
Best Mistake,Ariana Grande Featuring Big Sean,49,2,9/13/2014
Come Get It Bae,Pharrell Williams,23,15,9/13/2014
I Don't Dance,Lee Brice,33,20,9/13/2014
We Are Tonight,Billy Currington,60,19,9/13/2014
Turn Down For What,DJ Snake & Lil Jon,4,37,9/20/2014
It Was Always You,Maroon 5,45,3,9/20/2014
I Will Never Let You Down,Rita Ora,77,6,9/20/2014
Yeah,Joe Nichols,41,20,9/20/2014
River Bank,Brad Paisley,54,18,9/20/2014
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",90,3,9/20/2014
She Came To Give It To You,Usher Featuring Nicki Minaj,89,2,9/20/2014
Cold One,Eric Church,88,6,9/27/2014
Work,Iggy Azalea,54,20,9/27/2014
Sweet Little Somethin',Jason Aldean,71,2,9/27/2014
Good Kisser,Usher,65,19,9/27/2014
Summer,Calvin Harris,7,26,9/27/2014
Love Never Felt So Good,Michael Jackson & Justin Timberlake,9,20,9/27/2014
Seen It All,Jeezy Featuring Jay Z,85,2,9/27/2014
Two Night Town,Jason Aldean,76,1,9/27/2014
X,Chris Brown,98,1,10/4/2014
Pills N Potions,Nicki Minaj,24,18,10/4/2014
Foreign,Trey Songz,84,10,10/4/2014
Wiggle,Jason Derulo Featuring Snoop Dogg,5,21,10/4/2014
Dust,Eli Young Band,79,9,10/4/2014
Love Runs Out,OneRepublic,15,20,10/4/2014
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,9,36,10/4/2014
"Where It's At (Yep, Yep)",Dustin Lynch,42,20,10/4/2014
Bend Ova,Lil Jon Featuring Tyga,92,3,10/11/2014
Drunk On A Plane,Dierks Bentley,27,20,10/11/2014
Angel In Blue Jeans,Train,79,3,10/11/2014
Main Chick,Kid Ink Featuring Chris Brown,60,20,10/11/2014
Left Hand Free,alt-J,99,1,10/11/2014
Counting Stars,OneRepublic,2,68,10/18/2014
Walk Thru,Rich Homie Quan Featuring Problem,74,7,10/18/2014
Really Don't Care,Demi Lovato Featuring Cher Lloyd,26,18,10/18/2014
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,19,20,10/18/2014
Bartender,Lady Antebellum,31,20,10/18/2014
Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,41,19,10/18/2014
Bumpin' The Night,Florida Georgia Line,69,1,10/18/2014
24 Hours,TeeFLii Featuring 2 Chainz,85,7,10/25/2014
Errrbody,Yo Gotti,98,1,10/25/2014
Later On,The Swon Brothers,86,9,10/25/2014
Believe Me,Lil Wayne Featuring Drake,26,20,10/25/2014
The Days,Avicii,78,1,10/25/2014
EW!,Jimmy Fallon Featuring will.i.am,26,2,11/1/2014
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,38,20,11/1/2014
Bo$$,Fifth Harmony,43,15,11/1/2014
2 On,Tinashe Featuring ScHoolboy Q,24,24,11/1/2014
Dark Horse,Katy Perry Featuring Juicy J,1,57,11/1/2014
V. 3005,Childish Gambino,64,20,11/1/2014
I'm Not Gonna Miss You,Glen Campbell,90,1,11/1/2014
Shower,Becky G,16,20,11/1/2014
Ready Set Roll,Chase Rice,54,21,11/1/2014
Problem,Ariana Grande Featuring Iggy Azalea,2,25,11/1/2014
Hookah,Tyga Featuring Young Thug,85,11,11/8/2014
Hideaway,Kiesza,51,14,11/8/2014
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,67,20,11/8/2014
U Guessed It,OG Maco Featuring 2 Chainz,90,4,11/8/2014
A Sky Full Of Stars,Coldplay,10,26,11/8/2014
Fight Night,Migos,69,16,11/8/2014
American Kids,Kenny Chesney,23,20,11/15/2014
No Mediocre,T.I. Featuring Iggy Azalea,33,20,11/15/2014
I Won't Let You Down,OK Go,71,1,11/15/2014
Welcome To New York,Taylor Swift,48,2,11/15/2014
Latch,Disclosure Featuring Sam Smith,7,33,11/15/2014
Hope You Get Lonely Tonight,Cole Swindell,50,20,11/15/2014
Secrets,Mary Lambert,66,10,11/22/2014
Ready To Run,One Direction,77,1,11/22/2014
Maps,Maroon 5,6,22,11/29/2014
18,One Direction,87,1,11/29/2014
Made Me,Snootie Wild Featuring K Camp,93,3,11/29/2014
Superheroes,The Script,73,9,11/29/2014
Handsome And Wealthy,Migos,79,8,11/29/2014
Where Do Broken Hearts Go,One Direction,88,1,11/29/2014
Leave The Night On,Sam Hunt,30,21,11/29/2014
Amnesia,5 Seconds Of Summer,16,20,11/29/2014
Bobby Bitch,Bobby Shmurda,92,3,11/29/2014
Am I Wrong,Nico & Vinz,4,31,11/29/2014
Do They Know It's Christmas? (2014),Band Aid 30,63,1,12/6/2014
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82,10,12/6/2014
Take Me To Church,Matt McAndrew,92,1,12/6/2014
Dirt,Florida Georgia Line,11,20,12/6/2014
Boom Clap,Charli XCX,8,25,12/6/2014
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,30,12/6/2014
Happy,Pharrell Williams,1,47,12/6/2014
Sunshine & Whiskey,Frankie Ballard,57,20,12/6/2014
All Of Me,John Legend,1,59,12/6/2014
Good Girls,5 Seconds Of Summer,34,2,12/6/2014
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,78,1,12/6/2014
Stockholm Syndrome,One Direction,99,1,12/6/2014
This Is How We Do,Katy Perry,24,18,12/13/2014
Break Free,Ariana Grande Featuring Zedd,4,22,12/13/2014
Guts Over Fear,Eminem Featuring Sia,22,3,12/13/2014
Fancy,Iggy Azalea Featuring Charli XCX,1,39,12/13/2014
Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,18,9,12/13/2014
I Walk The Line,Craig Wayne Boyd,84,1,12/13/2014
Roller Coaster,Luke Bryan,43,20,12/13/2014
Baby Don't Lie,Gwen Stefani,46,6,12/13/2014
Look At You,Big & Rich,73,14,12/20/2014
0 To 100 / The Catch Up,Drake,35,20,12/20/2014
Feelin' It,Scotty McCreery,84,11,12/20/2014
Day Drinking,Little Big Town,40,20,12/20/2014
Royals,Taylor John Williams,100,1,12/20/2014
i,Kendrick Lamar,39,11,12/20/2014
Burnin' It Down,Jason Aldean,12,20,12/20/2014
The Blower's Daughter,Matt McAndrew,40,1,12/20/2014
Cool Kids,Echosmith,13,23,12/27/2014
Make It Rain,Matt McAndrew,81,1,12/27/2014
Have Yourself A Merry Little Christmas,Sam Smith,90,1,12/27/2014
When I Was Your Man,Chris Jamison,98,1,12/27/2014
Come Join The Murder,The White Buffalo & The Forest Rangers,93,1,12/27/2014
The Old Rugged Cross,Craig Wayne Boyd,59,1,12/27/2014
Make It Rain,Ed Sheeran,34,2,12/27/2014
New Flame,Chris Brown Featuring Usher & Rick Ross,27,22,12/27/2014
No Flex Zone,Rae Sremmurd,36,20,12/27/2014
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,34,1,1/3/2015
Wasted Love,Matt McAndrew,14,1,1/3/2015
Soldier,Damien,74,1,1/3/2015
Velvet,Chris Jamison,53,1,1/3/2015
About The Money,T.I. Featuring Young Thug,42,20,1/3/2015
Fireball,Pitbull Featuring John Ryan,23,20,1/3/2015
Lost Without U,Chris Jamison & Adam Levine,63,1,1/3/2015
Get On Your Knees,Nicki Minaj Featuring Ariana Grande,88,1,1/3/2015
Girl In A Country Song,Maddie & Tae,54,20,1/3/2015
Lost Stars,Matt McAndrew & Adam Levine,83,1,1/3/2015
Bad B*tch,French Montana Featuring Jeremih,95,1,1/10/2015
Title,Meghan Trainor,100,1,1/10/2015
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",84,3,1/10/2015
Burnin' Up,Jessie J Featuring 2 Chainz,86,6,1/10/2015
Break The Rules,Charli XCX,91,3,1/10/2015
Trumpets,Jason Derulo,14,32,1/17/2015
Something Big,Shawn Mendes,80,3,1/17/2015
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,62,6,1/17/2015
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,16,25,1/17/2015
Try,Colbie Caillat,55,20,1/17/2015
In Your Arms,Nico & Vinz,72,12,1/17/2015
Yellow Flicker Beat,Lorde,34,9,1/17/2015
Anaconda,Nicki Minaj,2,22,1/17/2015
Best Friends,Sophia Grace,87,1,1/24/2015
Close Your Eyes,Parmalee,69,16,1/24/2015
Somewhere In My Car,Keith Urban,49,20,1/24/2015
Rather Be,Clean Bandit Featuring Jess Glynne,10,31,1/24/2015
Neon Light,Blake Shelton,43,20,1/24/2015
Stolen Dance,Milky Chance,39,25,1/24/2015
Blank Space,I Prevail,90,1,1/24/2015
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39,20,1/31/2015
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,43,20,1/31/2015
Hot Boy,Bobby Shmurda,6,25,1/31/2015
No Love,August Alsina,69,18,1/31/2015
Don't Tell 'Em,Jeremih Featuring YG,6,31,2/7/2015
Blame,Calvin Harris Featuring John Newman,19,20,2/7/2015
Black Widow,Iggy Azalea Featuring Rita Ora,3,30,2/7/2015
All About It,Hoodie Allen Featuring Ed Sheeran,71,4,2/14/2015
